qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg),exact_match
27,False,False,1,1.0,4.205256899993401,0.0011447507838865,0.0003361224007572,0.0,0.0,0.0,1
28,True,False,0,0.0,7.441613399976632,0.0020257464777723,0.0005948008763292,0.0,0.0,0.0,1
29,True,True,1,1.0,61.533176700002514,0.0167505548466558,0.0049183077996751,0.0,0.0,0.0,1
30,True,True,1,1.0,30.174518300016643,0.0082140795089013,0.0024118228730702,0.0,0.0,0.0,1
31,True,False,0,0.0,41.77758049999829,0.0113726979211176,0.0033392582753728,0.0,0.0,0.0,1
32,False,False,1,1.0,28.929736399994,0.0078752643905573,0.002312339778065,0.0,0.0,0.0,1
33,True,True,1,1.0,23.84998520000954,0.0064924296177875,0.0019063110159829,0.0,0.0,0.0,1
34,True,True,1,1.0,30.3587881999847,0.0082642466305577,0.0024265529729378,0.0,0.0,0.0,1
35,False,False,1,1.0,52.74229029999697,0.014357507506669,0.0042156598274142,0.0,0.0,0.0,1
36,True,True,1,1.0,59.24546989999362,0.0161278260083265,0.0047354617906518,0.0,0.0,0.0,1
37,True,True,1,1.0,53.53313409999828,0.0145727924988803,0.004278871933881,0.0,0.0,0.0,1
38,True,True,1,1.0,13.443564899993362,0.0036596139922214,0.001074538020174,0.0,0.0,0.0,1
39,False,True,0,0.0,4.758948099974077,0.0012954557005537,0.0003803724673298,0.0,0.0,0.0,1
40,True,False,0,0.0,47.443012100004125,0.0129149219122309,0.0037920869938109,0.0,0.0,0.0,1
41,False,False,1,1.0,5.589128699997673,0.0015214531522187,0.0004467299724636,0.0,0.0,0.0,1
42,True,True,1,1.0,42.06274309998844,0.0114503360238954,0.0033620544209298,0.0,0.0,0.0,1
43,True,True,1,1.0,45.0468723999802,0.0122626284022162,0.0036005601884393,0.0,0.0,0.0,1
44,True,True,1,1.0,71.47070870001335,0.0194557580888908,0.0057126111721779,0.0,0.0,0.0,1
45,True,True,1,1.0,49.09242470000754,0.0133639351794492,0.0039239265343238,0.0,0.0,0.0,1
46,True,False,0,0.0,43.009646099992096,0.0117081124594456,0.0034377428900668,0.0,0.0,0.0,1
47,False,True,0,0.0,22.2832465999818,0.0060659359638831,0.0017810836976216,0.0,0.0,0.0,1
48,True,False,0,0.0,68.34177840000484,0.0186039844838916,0.0054625129035906,0.0,0.0,0.0,1
49,True,True,1,1.0,6.6533869999984745,0.0018111731977733,0.0005317977432222,0.0,0.0,0.0,1
50,True,False,0,0.0,7.27106709999498,0.0019793147805544,0.0005811675739897,0.0,0.0,0.0,1
51,False,False,1,1.0,3.925952199992025,0.0010687115827803,0.0003137957256526,0.0,0.0,0.0,1
52,True,False,0,0.0,27.723351999971783,0.0075468525555523,0.0022159113012535,0.0,0.0,0.0,1
53,True,True,1,1.0,49.69097809999949,0.0135268662522209,0.0039717664520673,0.0,0.0,0.0,1
54,False,True,0,0.0,67.6246911000053,0.0184088084216672,0.0054052051930141,0.0,0.0,0.0,1
55,False,False,1,1.0,3.2549970999825746,0.0008860623633275,0.0002601661540437,0.0,0.0,0.0,1
56,True,False,0,0.0,5.586292499996489,0.0015206903650013,0.0004465060024307,0.0,0.0,0.0,1
57,False,True,0,0.0,3.875502199982293,0.001054974779441,0.0003097623173492,0.0,0.0,0.0,1
58,True,True,1,1.0,57.18677369999932,0.0155673840133324,0.0045709044813281,0.0,0.0,0.0,1
59,True,False,0,0.0,38.588548400002765,0.0105045810005527,0.0030843612728239,0.0,0.0,0.0,1
60,True,True,1,1.0,55.843914900004165,0.0152018354583318,0.0044635718988746,0.0,0.0,0.0,1
61,True,True,1,1.0,6.947971200017491,0.0018913682599983,0.000555344664721,0.0,0.0,0.0,1
62,True,True,1,1.0,41.28140929999063,0.0112376155416532,0.0032995953073935,0.0,0.0,0.0,1
63,True,True,1,1.0,54.605277900001965,0.0148646516100076,0.0043645677783354,0.0,0.0,0.0,1
64,True,True,1,1.0,39.42154139999184,0.0107313346794426,0.0031509408218417,0.0,0.0,0.0,1
65,True,False,0,0.0,53.03774830000475,0.0144379254194526,0.0042392721824256,0.0,0.0,0.0,1
66,False,False,1,1.0,4.138183300005039,0.0011264851133324,0.0003307592237893,0.0,0.0,0.0,1
67,True,True,1,1.0,24.39059920000728,0.0066396113044499,0.0019495265896823,0.0,0.0,0.0,1
68,False,False,1,1.0,4.2054085999843664,0.0011447835583236,0.0003361320240067,0.0,0.0,0.0,1
69,True,True,1,1.0,54.99504669994349,0.0149707531944256,0.0043957213881697,0.0,0.0,0.0,1
70,True,True,1,1.0,44.41719569999259,0.012091268092779,0.0035502452732514,0.0,0.0,0.0,1
71,True,True,1,1.0,52.38305619999301,0.0142596970394396,0.0041869406603019,0.0,0.0,0.0,1
72,True,True,1,1.0,41.90470959997037,0.011407322359994,0.0033494247235499,0.0,0.0,0.0,1
73,True,True,1,1.0,57.39326989999972,0.0156235934505756,0.0045874087294643,0.0,0.0,0.0,1
74,True,False,0,0.0,5.921451300033368,0.0016119250289006,0.0004732943782883,0.0,0.0,0.0,1
75,False,True,0,0.0,4.033297799993306,0.0010979305533229,0.0003223750170274,0.0,0.0,0.0,1
76,True,True,1,1.0,33.76027049997356,0.0091902035655457,0.0026984329946568,0.0,0.0,0.0,1
77,True,True,1,1.0,47.22772949998034,0.0128563118983393,0.0037748778869425,0.0,0.0,0.0,1
78,True,False,0,0.0,43.8070991000277,0.0119251797744354,0.0035014783231997,0.0,0.0,0.0,1
79,False,True,0,0.0,4.142346900014672,0.0011276166122183,0.00033109145516,0.0,0.0,0.0,1
80,True,True,1,1.0,64.55426620005164,0.0175729485299881,0.0051597795183236,0.0,0.0,0.0,1
81,True,True,1,1.0,34.72424899996258,0.009452622641103,0.0027754846384927,0.0,0.0,0.0,1
82,False,False,1,1.0,4.132065000012517,0.0011248174844393,0.0003302695736095,0.0,0.0,0.0,1
83,True,True,1,1.0,40.09429060004186,0.010914478936663,0.0032047157467322,0.0,0.0,0.0,1
84,True,False,0,0.0,44.24944189999951,0.0120455792283138,0.0035368300819031,0.0,0.0,0.0,1
85,True,False,0,0.0,58.411577499995474,0.0159008080011165,0.0046688046293966,0.0,0.0,0.0,1
86,True,True,1,1.0,25.134535099961795,0.0068421187233218,0.0020089869375243,0.0,0.0,0.0,1
87,True,False,0,0.0,41.1997569000232,0.011215399539988,0.0032930722318735,0.0,0.0,0.0,1
88,True,True,1,1.0,49.78763160004746,0.0135531868577989,0.0039794947238106,0.0,0.0,0.0,1
89,False,False,1,1.0,4.776015200011898,0.0013001178049996,0.0003817413571887,0.0,0.0,0.0,1
90,True,False,0,0.0,31.43356680002762,0.0085568346816671,0.0025124628491799,0.0,0.0,0.0,1
91,True,False,0,0.0,49.08429630001774,0.0133616934294524,0.0039232683103667,0.0,0.0,0.0,1
92,False,True,0,0.0,4.369361299963202,0.0011894143688867,0.0003492365489438,0.0,0.0,0.0,1
93,True,True,1,1.0,23.68553920002887,0.0064476447433317,0.0018931612547147,0.0,0.0,0.0,1
94,False,False,1,1.0,5.173650300013833,0.0014083483144446,0.0004135200632458,0.0,0.0,0.0,1
95,True,True,1,1.0,56.4985175000038,0.0153800126294485,0.004515888385012,0.0,0.0,0.0,1
96,True,False,0,0.0,101.696039500006,0.0276836691233339,0.0081284952659405,0.0,0.0,0.0,1
97,True,True,1,1.0,52.27524200000335,0.0142303303955782,0.0041783180090001,0.0,0.0,0.0,1
98,False,False,1,1.0,3.858790599973872,0.0010504268161011,0.0003084269416693,0.0,0.0,0.0,1
99,False,True,0,0.0,44.59448760002852,0.0121395060461172,0.0035644089295789,0.0,0.0,0.0,1
100,False,True,0,0.0,4.574574599973857,0.0012452636561062,0.0003656350496175,0.0,0.0,0.0,1
101,True,False,0,0.0,34.56480480002938,0.0094092144255665,0.0027627390926288,0.0,0.0,0.0,1
102,True,True,1,1.0,39.72572080005193,0.0108141245655628,0.0031752496370641,0.0,0.0,0.0,1
103,True,True,1,1.0,50.8966095999931,0.0138550624577904,0.0040681316156367,0.0,0.0,0.0,1
104,False,True,0,0.0,4.524743799993303,0.0012317012705607,0.0003616528539696,0.0,0.0,0.0,1
105,False,False,1,1.0,4.507370399951469,0.001226976017768,0.000360265422456,0.0,0.0,0.0,1
106,True,False,0,0.0,54.55353570001898,0.0148505799305809,0.0043604360435175,0.0,0.0,0.0,1
107,True,True,1,1.0,43.854254900012165,0.0119380135266621,0.0035052465771026,0.0,0.0,0.0,1
108,True,True,1,1.0,8.092537300020922,0.0022029228694549,0.0006468235130185,0.0,0.0,0.0,1
109,False,True,0,0.0,4.017937000025995,0.0010937384077874,0.0003211441167812,0.0,0.0,0.0,1
110,True,True,1,1.0,66.85276779998094,0.0181986333489094,0.0053434934641129,0.0,0.0,0.0,1
111,False,True,0,0.0,56.854080499964766,0.0154768105150064,0.0045443102372962,0.0,0.0,0.0,1
112,False,False,1,1.0,4.580573000013828,0.0012469009216713,0.000366115784499,0.0,0.0,0.0,1
113,True,True,1,1.0,41.68304169998737,0.0113469486472213,0.003331697758375,0.0,0.0,0.0,1
114,True,True,1,1.0,67.36675030004699,0.0183385453539192,0.0053845745095951,0.0,0.0,0.0,1
115,True,True,1,1.0,51.66169470001478,0.0140633400449888,0.0041292862037081,0.0,0.0,0.0,1
116,True,False,0,0.0,81.88285980001092,0.0222901301049717,0.0065448411562882,0.0,0.0,0.0,1
117,False,True,0,0.0,4.390519699954893,0.0011951729794382,0.0003509273955725,0.0,0.0,0.0,1
118,True,True,1,1.0,45.04927149997093,0.0122632718522292,0.0036007491186118,0.0,0.0,0.0,1
119,True,False,0,0.0,76.13194519997342,0.0207246322466636,0.0060851787512289,0.0,0.0,0.0,1
120,True,True,1,1.0,41.512636200001,0.0113005631800042,0.0033180780301157,0.0,0.0,0.0,1
121,True,False,0,0.0,53.99502259999281,0.014698542571094,0.0043157947442978,0.0,0.0,0.0,1
122,True,True,1,1.0,59.90933940000832,0.0163085357555569,0.0047885218932823,0.0,0.0,0.0,1
123,False,False,1,1.0,2.991121499973815,0.0008142260555598,0.0002390735349616,0.0,0.0,0.0,1
124,True,True,1,1.0,48.06342169997515,0.0130838232177743,0.0038416798948243,0.0,0.0,0.0,1
125,True,False,0,0.0,89.5612003999995,0.0243803814811331,0.007158581998951,0.0,0.0,0.0,1
126,True,True,1,1.0,3.810482500004582,0.0010372792727753,0.0003045665522387,0.0,0.0,0.0,1
127,True,True,1,1.0,41.23207630001707,0.0112242092555459,0.0032956589457548,0.0,0.0,0.0,1
